time,cognitive score,focus,chill,stress,self-control,anger,relaxation index,concentration index,fatigue score,reverse fatigue,alpha gravity,heart rate
2026-02-11 15:03,37,65,24,75,28,46,1.63,0.64,3.80,0.26,0.25,75
2026-02-11 15:04,30,49,44,58,57,47,1.69,0.66,3.55,0.28,0.22,78
2026-02-11 15:05,35,49,66,42,57,51,2.77,0.55,5.05,0.20,0.28,82
2026-02-11 15:06,34,61,39,71,54,55,1.38,0.82,2.89,0.35,0.26,76
2026-02-11 15:07,37,55,49,60,61,47,1.29,0.92,2.54,0.39,0.31,77
2026-02-11 15:08,35,50,49,60,56,52,1.47,0.83,2.91,0.34,0.28,75
2026-02-11 15:09,32,69,47,62,48,57,1.22,0.94,3.07,0.33,0.39,77
2026-02-11 15:10,40,47,63,45,65,42,1.49,0.86,3.27,0.31,0.46,81
2026-02-11 15:11,18,66,41,68,38,72,1.34,0.84,2.54,0.39,0.43,73
2026-02-11 15:12,43,37,77,31,66,37,2.85,0.53,4.67,0.21,0.46,76
2026-02-11 15:13,20,45,55,52,58,44,1.81,0.67,3.72,0.27,0.31,72
2026-02-11 15:14,16,57,48,62,56,44,1.99,0.57,4.78,0.21,0.24,75
2026-02-11 15:15,35,58,35,74,53,57,1.39,0.87,2.87,0.35,0.34,79
2026-02-11 15:16,38,47,59,49,53,53,1.59,0.78,3.08,0.32,0.31,73
2026-02-11 15:17,25,57,41,69,56,51,1.34,0.85,2.88,0.35,0.29,72
2026-02-11 15:18,26,52,59,48,56,52,1.50,0.84,2.98,0.34,0.27,77
2026-02-11 15:19,48,71,52,57,49,59,1.07,1.03,2.15,0.47,0.35,77
2026-02-11 15:20,51,50,43,64,61,46,1.29,0.96,2.69,0.37,0.37,71
2026-02-11 15:21,36,49,45,64,51,59,1.48,0.78,2.92,0.34,0.31,69
2026-02-11 15:22,30,62,55,51,53,55,1.34,0.83,2.79,0.36,0.30,77
2026-02-11 15:23,49,47,41,68,45,63,1.60,0.69,3.43,0.29,0.36,79
2026-02-11 15:24,26,61,49,60,62,44,1.43,0.78,3.10,0.32,0.27,79
2026-02-11 15:25,39,49,39,70,48,61,1.50,0.80,3.04,0.33,0.32,81
2026-02-11 15:26,42,52,42,68,58,45,1.28,0.88,3.15,0.32,0.32,81
2026-02-11 15:27,42,62,70,40,63,46,1.39,0.82,2.68,0.37,0.33,77
2026-02-11 15:28,39,72,53,57,66,43,1.22,0.91,2.52,0.40,0.34,85
2026-02-11 15:29,41,51,36,74,51,56,1.38,0.85,2.97,0.34,0.34,84
2026-02-11 15:30,45,41,63,45,70,34,1.77,0.65,4.34,0.23,0.34,74
2026-02-11 15:31,27,56,43,67,56,52,1.77,0.66,4.66,0.21,0.28,77
